station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
BDL,2017-01-01 00:10:00,,,11.5,,,10.0,,OVC,M,M
BDL,2017-01-01 00:15:00,,,11.5,,,10.0,,OVC,M,M
BDL,2017-01-01 00:20:00,,,13.8,,,10.0,,OVC,M,M
BDL,2017-01-01 00:25:00,,,11.5,,,10.0,,OVC,M,M
BDL,2017-01-01 00:30:00,,,14.95,,,10.0,,OVC,M,M
BDL,2017-01-01 00:35:00,,,,,,10.0,,SCT,OVC,M
BDL,2017-01-01 00:40:00,,,,,,10.0,,BKN,OVC,M
BDL,2017-01-01 00:45:00,,,14.95,,,10.0,,BKN,OVC,M
BDL,2017-01-01 00:51:00,41.0,64.63,14.95,1013.2,0.0,10.0,,BKN,BKN,OVC
BDL,2017-01-01 00:55:00,,,11.5,,,10.0,,OVC,M,M
BDL,2017-01-01 01:10:00,,,,,,10.0,23.0,FEW,OVC,M
BDL,2017-01-01 01:15:00,,,16.1,,,10.0,21.85,SCT,OVC,M
BDL,2017-01-01 01:20:00,,,17.25,,,10.0,,SCT,OVC,M
BDL,2017-01-01 01:25:00,,,,,,9.0,,BKN,OVC,M
BDL,2017-01-01 01:27:00,39.0,75.75,16.1,,0.0,9.0,29.9,BKN,OVC,M
BDL,2017-01-01 01:50:00,,,17.25,,0.01,10.0,,FEW,BKN,OVC
BDL,2017-01-01 01:51:00,37.9,79.08,17.25,1013.0,0.02,10.0,21.85,FEW,BKN,OVC
BDL,2017-01-01 01:55:00,,,,,,10.0,,OVC,M,M
BDL,2017-01-01 02:00:00,,,9.2,,,10.0,,FEW,OVC,M
BDL,2017-01-01 02:15:00,,,9.2,,,10.0,,OVC,M,M
BDL,2017-01-01 02:20:00,,,6.9,,,10.0,,OVC,M,M
BDL,2017-01-01 02:25:00,,,4.6,,,10.0,,OVC,M,M
BDL,2017-01-01 02:32:00,36.0,85.23,3.45,,0.0,10.0,,FEW,BKN,OVC
BDL,2017-01-01 02:40:00,,,5.75,,,10.0,,SCT,BKN,OVC
BDL,2017-01-01 02:45:00,,,5.75,,,10.0,,SCT,BKN,OVC
BDL,2017-01-01 02:50:00,,,5.75,,,10.0,,BKN,BKN,OVC
BDL,2017-01-01 02:51:00,37.0,81.93,6.9,1012.1,0.0,10.0,,SCT,BKN,OVC
BDL,2017-01-01 03:00:00,,,6.9,,0.01,10.0,,FEW,SCT,OVC
BDL,2017-01-01 03:05:00,,,5.75,,0.01,10.0,,FEW,BKN,OVC
BDL,2017-01-01 03:10:00,,,5.75,,0.01,10.0,,SCT,BKN,OVC
BDL,2017-01-01 03:15:00,,,5.75,,0.01,10.0,,BKN,BKN,OVC
BDL,2017-01-01 03:25:00,,,4.6,,0.01,10.0,,OVC,M,M
BDL,2017-01-01 03:35:00,,,4.6,,0.01,10.0,,OVC,M,M
BDL,2017-01-01 03:40:00,,,11.5,,0.01,10.0,17.25,OVC,M,M
BDL,2017-01-01 03:45:00,,,9.2,,0.01,10.0,,OVC,M,M
BDL,2017-01-01 03:51:00,37.0,81.93,10.35,1012.0,0.01,10.0,,BKN,OVC,M
BDL,2017-01-01 04:00:00,,,10.35,,,10.0,,BKN,OVC,M
BDL,2017-01-01 04:15:00,,,10.35,,,10.0,,FEW,OVC,M
BDL,2017-01-01 04:20:00,,,10.35,,,10.0,,OVC,M,M
BDL,2017-01-01 04:35:00,,,8.05,,,10.0,,OVC,M,M
BDL,2017-01-01 04:40:00,,,6.9,,,10.0,,OVC,M,M
BDL,2017-01-01 04:45:00,,,8.05,,,10.0,,OVC,M,M
BDL,2017-01-01 04:51:00,37.0,75.56,8.05,1011.2,0.0,10.0,,OVC,M,M
BDL,2017-01-01 05:00:00,,,8.05,,,10.0,,OVC,M,M
BDL,2017-01-01 05:20:00,,,10.35,,,10.0,,BKN,OVC,M
BDL,2017-01-01 05:25:00,,,12.65,,0.0001,10.0,,BKN,OVC,M
BDL,2017-01-01 05:30:00,,,11.5,,,10.0,,BKN,OVC,M
BDL,2017-01-01 05:40:00,,,10.35,,,10.0,,BKN,OVC,M
BDL,2017-01-01 05:51:00,37.0,75.56,13.8,1011.4,0.0,10.0,,BKN,OVC,M
BDL,2017-01-01 06:10:00,,,9.2,,,10.0,,BKN,OVC,M
BDL,2017-01-01 06:15:00,,,9.2,,0.0001,10.0,,BKN,OVC,M
BDL,2017-01-01 06:25:00,,,8.05,,,10.0,,BKN,OVC,M
BDL,2017-01-01 06:30:00,,,9.2,,,10.0,,BKN,OVC,M
BDL,2017-01-01 06:35:00,,,11.5,,,10.0,,BKN,OVC,M
BDL,2017-01-01 06:45:00,,,9.2,,0.01,10.0,,OVC,M,M
