station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
DOV,2017-01-01 00:58:00,44.6,50.39,19.55,1014.5,0.0,10.0,25.3,OVC,M,M
DOV,2017-01-01 01:58:00,45.1,50.26,19.55,1014.5,0.0,10.0,28.75,BKN,M,M
DOV,2017-01-01 02:15:00,44.6,52.72,21.85,,0.0,10.0,31.05,FEW,M,M
DOV,2017-01-01 02:19:00,44.6,56.74,23.0,,0.0,10.0,31.05,CLR,M,M
DOV,2017-01-01 02:37:00,44.6,61.03,17.25,,0.0,10.0,35.65,FEW,M,M
DOV,2017-01-01 02:47:00,44.6,56.74,17.25,,0.0,10.0,28.75,SCT,BKN,M
DOV,2017-01-01 02:58:00,45.0,54.98,18.4,1014.5,0.0,10.0,29.9,SCT,BKN,M
DOV,2017-01-01 03:58:00,45.1,54.77,19.55,1014.2,0.0,10.0,25.3,OVC,M,M
DOV,2017-01-01 04:58:00,45.3,53.7,18.4,1014.2,0.0,10.0,26.45,OVC,M,M
DOV,2017-01-01 05:58:00,44.8,50.84,12.65,1014.5,0.0,10.0,,FEW,BKN,M
DOV,2017-01-01 06:58:00,44.4,50.78,12.65,1015.2,0.0,10.0,,SCT,BKN,M
DOV,2017-01-01 07:58:00,43.3,51.03,11.5,1015.9,0.0,10.0,,CLR,M,M
DOV,2017-01-01 08:58:00,42.4,52.39,8.05,1016.6,0.0,10.0,,CLR,M,M
DOV,2017-01-01 09:58:00,41.5,54.69,8.05,1017.6,0.0,10.0,,CLR,M,M
DOV,2017-01-01 10:58:00,41.5,56.76,5.75,1018.6,0.0,10.0,,OVC,M,M
DOV,2017-01-01 11:58:00,41.7,57.25,5.75,1019.6,0.0,10.0,,OVC,M,M
DOV,2017-01-01 12:58:00,41.5,57.23,5.75,1020.6,0.0,10.0,,SCT,M,M
DOV,2017-01-01 13:58:00,43.7,53.68,4.6,1021.3,0.0,10.0,,CLR,M,M
DOV,2017-01-01 14:58:00,48.0,51.34,3.45,1022.3,0.0,10.0,,CLR,M,M
DOV,2017-01-01 15:58:00,51.6,48.67,12.65,1022.7,0.0,10.0,,CLR,M,M
DOV,2017-01-01 16:58:00,52.2,47.99,12.65,1022.3,0.0,10.0,,CLR,M,M
DOV,2017-01-01 17:58:00,52.7,47.68,12.65,1022.7,0.0,10.0,,CLR,M,M
DOV,2017-01-01 18:58:00,52.7,46.36,6.9,1023.0,0.0,10.0,,CLR,M,M
DOV,2017-01-01 19:58:00,52.9,46.77,5.75,1024.0,0.0,10.0,,CLR,M,M
DOV,2017-01-01 20:58:00,52.0,47.57,6.9,1025.0,0.0,10.0,,CLR,M,M
DOV,2017-01-01 21:58:00,44.4,64.8,4.6,1025.7,0.0,10.0,,CLR,M,M
DOV,2017-01-01 22:58:00,43.3,64.14,0.0,1026.4,0.0,10.0,,CLR,M,M
DOV,2017-01-01 23:58:00,41.7,68.21,3.45,1028.1,0.0,10.0,,CLR,M,M
DOV,2017-01-02 00:58:00,38.7,73.31,5.75,1028.4,0.0,10.0,,CLR,M,M
DOV,2017-01-02 01:58:00,36.3,79.59,3.45,1028.8,0.0,10.0,,CLR,M,M
DOV,2017-01-02 02:58:00,38.8,76.96,8.05,1029.1,0.0,10.0,,CLR,M,M
DOV,2017-01-02 03:58:00,38.7,80.11,8.05,1029.4,0.0,10.0,,CLR,M,M
DOV,2017-01-02 04:58:00,39.4,82.43,9.2,1029.1,0.0,10.0,,CLR,M,M
DOV,2017-01-02 05:58:00,40.3,86.86,8.05,1028.8,0.0,10.0,,BKN,OVC,M
DOV,2017-01-02 06:58:00,41.5,88.3,5.75,1029.1,0.0,10.0,,OVC,M,M
DOV,2017-01-02 07:58:00,42.1,96.59,9.2,1029.1,0.0,10.0,,OVC,M,M
DOV,2017-01-02 08:06:00,42.8,93.3,8.05,,0.0,10.0,,OVC,M,M
DOV,2017-01-02 08:51:00,42.8,100.0,8.05,,0.0,8.0,,OVC,M,M
DOV,2017-01-02 08:58:00,42.3,100.0,9.2,1029.1,0.03,8.0,,OVC,M,M
DOV,2017-01-02 09:03:00,42.8,100.0,9.2,,0.0,10.0,,OVC,M,M
DOV,2017-01-02 09:17:00,42.8,100.0,12.65,,0.0,10.0,,OVC,M,M
