station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
2G4,2017-01-01 00:00:00,32.0,100.0,17.25,,0.0,3.0,27.6,BKN,OVC,M
2G4,2017-01-01 00:20:00,32.0,100.0,11.5,,0.0,4.0,33.35,BKN,OVC,M
2G4,2017-01-01 00:40:00,32.0,100.0,16.1,,0.0,5.0,31.05,OVC,M,M
2G4,2017-01-01 01:00:00,32.0,100.0,16.1,,0.0,4.0,26.45,OVC,M,M
2G4,2017-01-01 01:20:00,32.0,100.0,12.65,,0.0,4.0,25.3,OVC,M,M
2G4,2017-01-01 01:40:00,32.0,100.0,16.1,,0.0,3.0,23.0,OVC,M,M
2G4,2017-01-01 02:00:00,32.0,100.0,12.65,,0.0,3.0,24.15,OVC,M,M
2G4,2017-01-01 02:20:00,32.0,100.0,10.35,,0.0,3.0,23.0,OVC,M,M
2G4,2017-01-01 02:40:00,32.0,100.0,9.2,,0.0,3.0,24.15,BKN,OVC,M
2G4,2017-01-01 03:00:00,32.0,100.0,18.4,,0.0,4.0,26.45,M,M,M
2G4,2017-01-01 03:20:00,32.0,100.0,11.5,,0.0,3.0,26.45,M,M,M
2G4,2017-01-01 03:40:00,32.0,100.0,13.8,,0.0,1.5,19.55,M,M,M
2G4,2017-01-01 04:00:00,32.0,100.0,11.5,,0.0,3.0,20.7,M,M,M
2G4,2017-01-01 04:20:00,32.0,100.0,17.25,,0.0,3.0,26.45,M,M,M
2G4,2017-01-01 04:40:00,32.0,100.0,10.35,,0.0,2.5,20.7,M,M,M
2G4,2017-01-01 05:00:00,32.0,100.0,13.8,,0.0,2.5,20.7,M,M,M
2G4,2017-01-01 05:20:00,32.0,100.0,12.65,,0.0,2.0,19.55,M,M,M
2G4,2017-01-01 05:40:00,32.0,100.0,13.8,,0.0,2.0,20.7,M,M,M
2G4,2017-01-01 06:00:00,32.0,100.0,13.8,,0.0,4.0,20.7,M,M,M
2G4,2017-01-01 06:20:00,32.0,100.0,9.2,,0.0,5.0,16.1,M,M,M
2G4,2017-01-01 06:40:00,32.0,100.0,10.35,,0.0,7.0,17.25,M,M,M
2G4,2017-01-01 07:00:00,32.0,100.0,12.65,,0.0,7.0,20.7,M,M,M
2G4,2017-01-01 07:20:00,32.0,100.0,11.5,,0.0,4.0,20.7,OVC,M,M
2G4,2017-01-01 07:40:00,32.0,100.0,11.5,,0.0,2.5,17.25,OVC,M,M
2G4,2017-01-01 08:00:00,32.0,100.0,8.05,,0.0,4.0,18.4,OVC,M,M
2G4,2017-01-01 08:20:00,32.0,100.0,4.6,,0.0,10.0,,BKN,OVC,M
2G4,2017-01-01 08:40:00,32.0,100.0,8.05,,0.0,10.0,,BKN,BKN,OVC
2G4,2017-01-01 09:00:00,32.0,100.0,9.2,,0.0,10.0,16.1,SCT,SCT,OVC
2G4,2017-01-01 09:20:00,32.0,92.97,9.2,,0.0,10.0,,SCT,SCT,BKN
2G4,2017-01-01 09:40:00,32.0,92.97,10.35,,0.0,10.0,18.4,BKN,M,M
2G4,2017-01-01 10:00:00,32.0,92.97,12.65,,0.0,10.0,18.4,M,M,M
2G4,2017-01-01 10:20:00,32.0,100.0,12.65,,0.0,10.0,21.85,M,M,M
2G4,2017-01-01 10:40:00,32.0,100.0,12.65,,0.0,10.0,19.55,M,M,M
2G4,2017-01-01 11:00:00,32.0,100.0,14.95,,0.0,10.0,20.7,M,M,M
2G4,2017-01-01 11:20:00,32.0,100.0,11.5,,0.0,10.0,16.1,BKN,BKN,OVC
2G4,2017-01-01 11:40:00,32.0,92.97,11.5,,0.0,10.0,21.85,BKN,BKN,OVC
2G4,2017-01-01 12:00:00,32.0,92.97,11.5,,0.0,10.0,18.4,OVC,M,M
2G4,2017-01-01 12:20:00,32.0,92.97,9.2,,0.0,10.0,16.1,BKN,OVC,M
2G4,2017-01-01 12:40:00,32.0,92.97,8.05,,0.0,10.0,16.1,BKN,OVC,M
2G4,2017-01-01 13:00:00,32.0,92.97,6.9,,0.0,10.0,19.55,BKN,OVC,M
2G4,2017-01-01 13:20:00,32.0,100.0,5.75,,0.0,7.0,,M,M,M
2G4,2017-01-01 13:40:00,32.0,92.97,6.9,,0.0,10.0,,M,M,M
2G4,2017-01-01 14:00:00,32.0,92.97,6.9,,0.0,10.0,,M,M,M
2G4,2017-01-01 14:20:00,30.2,100.0,6.9,,0.0,10.0,,M,M,M
2G4,2017-01-01 14:40:00,32.0,92.97,8.05,,0.0,10.0,,M,M,M
2G4,2017-01-01 15:00:00,32.0,92.97,4.6,,0.0,10.0,,M,M,M
2G4,2017-01-01 15:20:00,32.0,92.97,5.75,,0.0,10.0,,M,M,M
2G4,2017-01-01 15:40:00,32.0,92.97,3.45,,0.0,10.0,,M,M,M
2G4,2017-01-01 16:00:00,32.0,92.97,6.9,,0.0,10.0,,M,M,M
2G4,2017-01-01 16:20:00,32.0,92.97,5.75,,0.0,10.0,,M,M,M
2G4,2017-01-01 16:40:00,32.0,92.97,4.6,,0.0,10.0,,M,M,M
2G4,2017-01-01 17:00:00,32.0,92.97,4.6,,0.0,10.0,,M,M,M
2G4,2017-01-01 17:20:00,32.0,92.97,4.6,,0.0,10.0,,M,M,M
2G4,2017-01-01 17:40:00,33.8,86.49,5.75,,0.0,10.0,,M,M,M
2G4,2017-01-01 18:00:00,35.6,74.8,8.05,,0.0,10.0,,M,M,M
2G4,2017-01-01 18:20:00,35.6,80.51,6.9,,0.0,10.0,,M,M,M
2G4,2017-01-01 18:40:00,35.6,80.51,3.45,,0.0,10.0,,M,M,M
2G4,2017-01-01 19:00:00,35.6,80.51,5.75,,0.0,10.0,,M,M,M
2G4,2017-01-01 19:20:00,35.6,80.51,3.45,,0.0,10.0,,M,M,M
2G4,2017-01-01 19:40:00,35.6,80.51,5.75,,0.0,10.0,,M,M,M
2G4,2017-01-01 20:00:00,35.6,74.8,4.6,,0.0,10.0,,M,M,M
2G4,2017-01-01 20:20:00,35.6,74.8,4.6,,0.0,10.0,,M,M,M
2G4,2017-01-01 20:40:00,33.8,80.36,0.0,,0.0,10.0,,CLR,M,M
2G4,2017-01-01 21:00:00,35.6,80.51,5.75,,0.0,10.0,,CLR,M,M
2G4,2017-01-01 21:20:00,35.6,80.51,4.6,,0.0,10.0,,M,M,M
2G4,2017-01-01 21:40:00,33.8,86.49,4.6,,0.0,10.0,,M,M,M
2G4,2017-01-01 22:00:00,33.8,86.49,8.05,,0.0,10.0,,M,M,M
2G4,2017-01-01 22:20:00,33.8,86.49,8.05,,0.0,10.0,,M,M,M
2G4,2017-01-01 22:40:00,32.0,92.97,9.2,,0.0,10.0,,M,M,M
2G4,2017-01-01 23:00:00,32.0,92.97,10.35,,0.0,10.0,,M,M,M
2G4,2017-01-01 23:20:00,32.0,92.97,9.2,,0.0,10.0,,M,M,M
2G4,2017-01-01 23:40:00,33.8,80.36,11.5,,0.0,10.0,,M,M,M
2G4,2017-01-02 00:00:00,32.0,86.39,11.5,,0.0,10.0,,M,M,M
2G4,2017-01-02 00:20:00,32.0,86.39,11.5,,0.0,10.0,,M,M,M
2G4,2017-01-02 00:40:00,32.0,86.39,11.5,,0.0,10.0,17.25,CLR,M,M
2G4,2017-01-02 01:00:00,33.8,80.36,11.5,,0.0,10.0,,CLR,M,M
2G4,2017-01-02 01:20:00,33.8,80.36,14.95,,0.0,10.0,18.4,CLR,M,M
2G4,2017-01-02 01:40:00,33.8,80.36,13.8,,0.0,10.0,,CLR,M,M
2G4,2017-01-02 02:00:00,33.8,80.36,14.95,,0.0,10.0,,CLR,M,M
2G4,2017-01-02 02:20:00,33.8,80.36,14.95,,0.0,10.0,19.55,M,M,M
2G4,2017-01-02 02:40:00,33.8,86.49,16.1,,0.0,10.0,21.85,M,M,M
2G4,2017-01-02 03:00:00,33.8,86.49,13.8,,0.0,10.0,21.85,M,M,M
2G4,2017-01-02 03:20:00,33.8,86.49,16.1,,0.0,10.0,19.55,M,M,M
2G4,2017-01-02 03:40:00,33.8,86.49,16.1,,0.0,10.0,21.85,OVC,M,M
2G4,2017-01-02 04:00:00,33.8,86.49,16.1,,0.0,10.0,20.7,BKN,M,M
2G4,2017-01-02 04:20:00,33.8,86.49,18.4,,0.0,10.0,23.0,M,M,M
2G4,2017-01-02 04:40:00,33.8,86.49,17.25,,0.0,10.0,23.0,M,M,M
2G4,2017-01-02 05:00:00,33.8,86.49,17.25,,0.0,10.0,23.0,M,M,M
2G4,2017-01-02 05:20:00,32.0,100.0,18.4,,0.0,4.0,24.15,M,M,M
2G4,2017-01-02 05:40:00,32.0,100.0,18.4,,0.0,4.0,26.45,SCT,BKN,OVC
2G4,2017-01-02 06:00:00,32.0,100.0,19.55,,0.0,4.0,26.45,SCT,BKN,OVC
2G4,2017-01-02 06:20:00,32.0,100.0,20.7,,0.0,5.0,27.6,SCT,BKN,OVC
2G4,2017-01-02 06:40:00,32.0,100.0,18.4,,0.0,3.0,25.3,SCT,BKN,OVC
2G4,2017-01-02 07:00:00,32.0,100.0,23.0,,0.0,2.0,31.05,OVC,M,M
2G4,2017-01-02 07:20:00,32.0,100.0,18.4,,0.0,3.0,26.45,M,M,M
2G4,2017-01-02 07:40:00,32.0,100.0,18.4,,0.0,0.75,24.15,M,M,M
2G4,2017-01-02 08:00:00,32.0,100.0,17.25,,0.0,0.5,26.45,M,M,M
2G4,2017-01-02 08:20:00,32.0,100.0,18.4,,0.0,0.25,25.3,M,M,M
2G4,2017-01-02 08:40:00,32.0,100.0,17.25,,0.0,0.25,24.15,VV ,M,M
2G4,2017-01-02 09:00:00,32.0,100.0,17.25,,0.0,0.25,23.0,VV ,M,M
2G4,2017-01-02 09:20:00,32.0,100.0,18.4,,0.0,0.25,24.15,VV ,M,M
2G4,2017-01-02 09:40:00,32.0,100.0,20.7,,0.0,0.25,26.45,M,M,M
2G4,2017-01-02 10:00:00,32.0,100.0,18.4,,0.0,0.25,24.15,M,M,M
2G4,2017-01-02 10:20:00,32.0,100.0,18.4,,0.0,0.25,25.3,M,M,M
2G4,2017-01-02 10:40:00,32.0,100.0,17.25,,0.0,0.25,25.3,M,M,M
2G4,2017-01-02 11:00:00,32.0,100.0,18.4,,0.0,0.25,26.45,M,M,M
2G4,2017-01-02 11:20:00,32.0,100.0,17.25,,0.0,0.25,24.15,M,M,M
2G4,2017-01-02 11:40:00,32.0,100.0,18.4,,0.0,0.5,25.3,M,M,M
2G4,2017-01-02 12:00:00,32.0,100.0,18.4,,0.0,0.5,24.15,M,M,M
2G4,2017-01-02 12:20:00,32.0,100.0,18.4,,0.0,0.5,21.85,M,M,M
2G4,2017-01-02 12:40:00,32.0,100.0,14.95,,0.0,0.25,21.85,M,M,M
2G4,2017-01-02 13:00:00,32.0,100.0,19.55,,0.0,0.25,25.3,M,M,M
2G4,2017-01-02 13:20:00,32.0,100.0,14.95,,0.0,0.25,23.0,M,M,M
2G4,2017-01-02 13:40:00,32.0,100.0,17.25,,0.0,0.25,24.15,M,M,M
2G4,2017-01-02 14:00:00,32.0,100.0,14.95,,0.0,0.25,,M,M,M
2G4,2017-01-02 14:20:00,32.0,100.0,17.25,,0.0,0.25,23.0,M,M,M
2G4,2017-01-02 14:40:00,32.0,100.0,14.95,,0.0,0.25,19.55,M,M,M
2G4,2017-01-02 15:00:00,32.0,100.0,17.25,,0.0,0.25,21.85,M,M,M
2G4,2017-01-02 15:20:00,33.8,100.0,16.1,,0.0,0.25,21.85,M,M,M
2G4,2017-01-02 15:40:00,33.8,100.0,16.1,,0.0,0.25,20.7,M,M,M
2G4,2017-01-02 16:00:00,33.8,100.0,17.25,,0.0,0.25,21.85,M,M,M
2G4,2017-01-02 16:20:00,33.8,100.0,16.1,,0.0,0.25,19.55,M,M,M
2G4,2017-01-02 16:40:00,33.8,100.0,13.8,,0.0,0.25,20.7,M,M,M
2G4,2017-01-02 17:00:00,33.8,100.0,14.95,,0.0,0.25,,VV ,M,M
2G4,2017-01-02 17:20:00,33.8,100.0,14.95,,0.0,0.25,20.7,VV ,M,M
2G4,2017-01-02 17:40:00,33.8,100.0,14.95,,0.0,0.25,,M,M,M
2G4,2017-01-02 18:00:00,33.8,100.0,17.25,,0.0,0.25,21.85,M,M,M
2G4,2017-01-02 18:20:00,33.8,100.0,16.1,,0.0,0.25,20.7,M,M,M
2G4,2017-01-02 18:40:00,33.8,100.0,18.4,,0.0,0.25,,M,M,M
2G4,2017-01-02 19:00:00,33.8,100.0,14.95,,0.0,0.25,21.85,M,M,M
2G4,2017-01-02 19:20:00,33.8,100.0,16.1,,0.0,0.25,,M,M,M
2G4,2017-01-02 19:40:00,33.8,100.0,14.95,,0.0,0.25,,M,M,M
2G4,2017-01-02 20:00:00,35.6,100.0,14.95,,0.0,0.25,,M,M,M
2G4,2017-01-02 20:20:00,35.6,100.0,14.95,,0.0,0.25,20.7,M,M,M
2G4,2017-01-02 20:40:00,33.8,100.0,14.95,,0.0,0.25,20.7,M,M,M
2G4,2017-01-02 21:00:00,33.8,100.0,13.8,,0.0,0.25,,M,M,M
2G4,2017-01-02 21:20:00,33.8,100.0,14.95,,0.0,0.25,,M,M,M
2G4,2017-01-02 21:40:00,33.8,100.0,13.8,,0.0,0.25,,M,M,M
2G4,2017-01-02 22:00:00,33.8,100.0,13.8,,0.0,0.25,,M,M,M
2G4,2017-01-02 22:20:00,33.8,100.0,16.1,,0.0,0.25,20.7,M,M,M
2G4,2017-01-02 22:40:00,33.8,100.0,16.1,,0.0,0.25,20.7,M,M,M
2G4,2017-01-02 23:00:00,33.8,100.0,13.8,,0.0,0.25,20.7,M,M,M
2G4,2017-01-02 23:20:00,33.8,100.0,16.1,,0.0,0.25,20.7,M,M,M
2G4,2017-01-02 23:40:00,33.8,100.0,17.25,,0.0,0.25,23.0,M,M,M
2G4,2017-01-03 00:00:00,33.8,100.0,20.7,,0.0,0.25,,M,M,M
2G4,2017-01-03 00:20:00,33.8,100.0,17.25,,0.0,0.25,23.0,M,M,M
2G4,2017-01-03 00:40:00,33.8,100.0,18.4,,0.0,0.25,25.3,M,M,M
2G4,2017-01-03 01:00:00,33.8,100.0,18.4,,0.0,0.25,24.15,M,M,M
