station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
1P1,2017-01-01 00:15:00,27.0,77.8,0.0,,0.0,10.0,,M,M,M
1P1,2017-01-01 00:35:00,26.6,79.77,0.0,,0.0,2.5,,M,M,M
1P1,2017-01-01 00:55:00,26.4,87.52,0.0,,0.0,1.5,,M,M,M
1P1,2017-01-01 01:15:00,26.6,90.89,0.0,,0.0,1.5,,M,M,M
1P1,2017-01-01 01:35:00,26.1,92.79,0.0,,0.0,1.5,,M,M,M
1P1,2017-01-01 01:55:00,26.1,93.17,0.0,,0.0,2.0,,M,M,M
1P1,2017-01-01 02:15:00,25.7,94.73,0.0,,0.0,4.0,,M,M,M
1P1,2017-01-01 02:35:00,25.7,94.73,0.0,,0.0,7.0,,M,M,M
1P1,2017-01-01 02:55:00,25.7,95.53,0.0,,0.0,1.5,,M,M,M
1P1,2017-01-01 03:15:00,26.1,94.74,0.0,,0.0,1.75,,M,M,M
1P1,2017-01-01 03:35:00,25.9,95.53,0.0,,0.0,5.0,,M,M,M
1P1,2017-01-01 03:55:00,26.1,94.74,0.0,,0.0,4.0,,M,M,M
1P1,2017-01-01 04:15:00,26.1,95.53,0.0,,0.0,7.0,,M,M,M
1P1,2017-01-01 04:35:00,26.1,94.74,0.0,,0.0,4.0,,M,M,M
1P1,2017-01-01 04:55:00,26.1,95.53,0.0,,0.0,4.0,,M,M,M
1P1,2017-01-01 05:15:00,25.9,96.33,0.0,,0.0,5.0,,M,M,M
1P1,2017-01-01 05:35:00,25.7,96.33,0.0,,0.0,10.0,,M,M,M
1P1,2017-01-01 05:55:00,25.7,96.33,0.0,,0.0,10.0,,M,M,M
1P1,2017-01-01 06:15:00,25.7,96.33,0.0,,0.0,10.0,,M,M,M
1P1,2017-01-01 06:35:00,25.5,96.32,0.0,,0.0,7.0,,M,M,M
1P1,2017-01-01 06:55:00,25.7,96.33,0.0,,0.0,2.5,,M,M,M
1P1,2017-01-01 07:15:00,25.7,96.33,0.0,,0.0,1.75,,M,M,M
1P1,2017-01-01 07:35:00,25.7,96.33,0.0,,0.0,1.25,,M,M,M
1P1,2017-01-01 07:55:00,26.1,96.73,0.0,,0.0,2.0,,M,M,M
1P1,2017-01-01 08:15:00,26.2,97.14,0.0,,0.0,4.0,,M,M,M
1P1,2017-01-01 08:35:00,26.2,97.14,0.0,,0.0,4.0,,M,M,M
1P1,2017-01-01 08:55:00,26.2,97.14,0.0,,0.0,3.0,,M,M,M
