station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
BID,2017-01-01 00:05:00,,,,,,,,M,M,M
BID,2017-01-01 00:10:00,,,,,,,,M,M,M
BID,2017-01-01 00:15:00,,,,,,,,M,M,M
BID,2017-01-01 00:20:00,,,,,,,,M,M,M
BID,2017-01-01 00:25:00,,,,,,,,M,M,M
BID,2017-01-01 00:30:00,,,,,,,,M,M,M
BID,2017-01-01 00:35:00,,,,,,,,M,M,M
BID,2017-01-01 00:40:00,,,,,,,,M,M,M
BID,2017-01-01 00:45:00,,,,,,,,M,M,M
BID,2017-01-01 00:55:00,,,,,,,,M,M,M
BID,2017-01-01 00:56:00,,,,,0.0,,,M,M,M
BID,2017-01-01 01:00:00,,,,,,,,M,M,M
BID,2017-01-01 01:10:00,,,,,,,,M,M,M
BID,2017-01-01 01:15:00,,,,,,,,M,M,M
BID,2017-01-01 01:20:00,,,,,,,,M,M,M
BID,2017-01-01 01:25:00,,,,,,,,M,M,M
BID,2017-01-01 01:40:00,,,,,,,,M,M,M
BID,2017-01-01 01:50:00,,,,,,,,M,M,M
BID,2017-01-01 01:55:00,,,,,,,,M,M,M
BID,2017-01-01 01:56:00,,,,,0.0,,,M,M,M
BID,2017-01-01 02:00:00,,,,,,,,M,M,M
BID,2017-01-01 02:15:00,,,,,,,,M,M,M
BID,2017-01-01 02:20:00,,,,,,,,M,M,M
BID,2017-01-01 02:35:00,,,,,,,,M,M,M
BID,2017-01-01 02:40:00,,,,,,,,M,M,M
BID,2017-01-01 02:45:00,,,,,,,,M,M,M
BID,2017-01-01 02:50:00,,,,,,,,M,M,M
BID,2017-01-01 02:55:00,,,,,,,,M,M,M
BID,2017-01-01 02:56:00,,,,,0.0,,,M,M,M
BID,2017-01-01 03:00:00,,,,,,,,M,M,M
BID,2017-01-01 03:05:00,,,,,,,,M,M,M
BID,2017-01-01 03:10:00,,,,,,,,M,M,M
BID,2017-01-01 03:15:00,,,,,,,,M,M,M
BID,2017-01-01 03:25:00,,,,,,,,M,M,M
BID,2017-01-01 03:35:00,,,,,,,,M,M,M
BID,2017-01-01 03:40:00,,,,,,,,M,M,M
BID,2017-01-01 03:45:00,,,,,,,,M,M,M
BID,2017-01-01 03:56:00,,,,,0.0,,,M,M,M
BID,2017-01-01 04:00:00,,,,,,,,M,M,M
BID,2017-01-01 04:15:00,,,,,,,,M,M,M
BID,2017-01-01 04:20:00,,,,,,,,M,M,M
BID,2017-01-01 04:35:00,,,,,,,,M,M,M
BID,2017-01-01 04:40:00,,,,,,,,M,M,M
BID,2017-01-01 04:56:00,,,,,0.0,,,M,M,M
BID,2017-01-01 05:00:00,,,,,,,,M,M,M
BID,2017-01-01 05:20:00,,,,,,,,M,M,M
BID,2017-01-01 05:25:00,,,,,,,,M,M,M
BID,2017-01-01 05:30:00,,,,,,,,M,M,M
BID,2017-01-01 05:40:00,,,,,,,,M,M,M
