station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
1V4,2017-01-01 09:54:00,32.0,,,1007.8,0.01,,,M,M,M
1V4,2017-01-01 10:54:00,32.0,,,1008.7,0.0,,,M,M,M
1V4,2017-01-01 11:54:00,32.0,,,1010.5,0.0,,,M,M,M
1V4,2017-01-01 12:54:00,30.0,,,1011.8,0.0,,,M,M,M
1V4,2017-01-01 13:54:00,35.1,,,1013.4,0.0,,,M,M,M
1V4,2017-01-01 14:54:00,35.1,,,1015.2,0.0,,,M,M,M
1V4,2017-01-01 15:54:00,35.1,,,1016.2,0.0,,,M,M,M
1V4,2017-01-01 16:54:00,34.0,,,1017.5,0.0,,,M,M,M
1V4,2017-01-01 17:54:00,35.1,,,1018.0,0.0,,,M,M,M
1V4,2017-01-01 18:54:00,36.0,,,1019.4,0.0,,,M,M,M
1V4,2017-01-01 19:54:00,35.1,,,1021.3,0.0,,,M,M,M
1V4,2017-01-01 20:54:00,33.1,,,1022.4,0.0,,,M,M,M
1V4,2017-01-01 21:54:00,32.0,,,1024.0,0.0,,,M,M,M
1V4,2017-01-01 22:54:00,30.0,,,1025.2,0.0,,,M,M,M
1V4,2017-01-01 23:54:00,28.0,,,1026.6,0.0,,,M,M,M
1V4,2017-01-02 00:54:00,24.1,,,1027.6,0.0,,,M,M,M
1V4,2017-01-02 01:54:00,23.0,,,1029.3,0.0,,,M,M,M
1V4,2017-01-02 02:54:00,19.9,,,1029.3,0.0,,,M,M,M
1V4,2017-01-02 03:54:00,17.1,,,1030.0,0.0,,,M,M,M
1V4,2017-01-02 04:54:00,16.0,,,1030.5,0.0,,,M,M,M
1V4,2017-01-02 05:54:00,14.0,,,1031.0,0.0,,,M,M,M
1V4,2017-01-02 06:54:00,12.0,,,1032.2,0.0,,,M,M,M
1V4,2017-01-02 07:54:00,10.9,,,1032.9,0.0,,,M,M,M
1V4,2017-01-02 08:54:00,10.0,,,1032.7,0.0,,,M,M,M
1V4,2017-01-02 09:54:00,9.0,,,1033.7,0.0,,,M,M,M
1V4,2017-01-02 10:54:00,8.1,,,1034.6,0.0,,,M,M,M
1V4,2017-01-02 11:54:00,7.0,,,1035.1,0.0,,,M,M,M
1V4,2017-01-02 12:54:00,8.1,,,1036.0,0.0,,,M,M,M
1V4,2017-01-02 13:54:00,9.0,,,1036.4,0.0,,,M,M,M
1V4,2017-01-02 14:54:00,14.0,,,1036.1,0.0,,,M,M,M
1V4,2017-01-02 15:54:00,19.0,,,1035.4,0.0,,,M,M,M
1V4,2017-01-02 17:54:00,28.0,,,1033.1,0.0,,,M,M,M
1V4,2017-01-02 18:54:00,30.0,,,1032.8,0.0,,,M,M,M
1V4,2017-01-02 19:54:00,33.1,,,1032.8,0.0,,,M,M,M
1V4,2017-01-02 20:54:00,30.0,,,1032.7,0.0,,,M,M,M
1V4,2017-01-02 21:54:00,25.0,,,1033.0,0.0,,,M,M,M
1V4,2017-01-02 22:54:00,21.9,,,1032.9,0.0,,,M,M,M
1V4,2017-01-02 23:54:00,19.9,,,1033.1,0.0,,,M,M,M
1V4,2017-01-03 00:54:00,18.0,,,1033.1,0.0,,,M,M,M
1V4,2017-01-03 01:54:00,16.0,,,1031.6,0.0,,,M,M,M
1V4,2017-01-03 02:54:00,14.0,,,1031.1,0.0,,,M,M,M
1V4,2017-01-03 03:54:00,12.9,,,1030.8,0.0,,,M,M,M
1V4,2017-01-03 04:54:00,12.0,,,1029.5,0.0,,,M,M,M
1V4,2017-01-03 05:54:00,12.9,,,1029.0,0.0,,,M,M,M
1V4,2017-01-03 06:54:00,15.1,,,1029.0,0.0,,,M,M,M
1V4,2017-01-03 07:54:00,16.0,,,1028.8,0.0,,,M,M,M
1V4,2017-01-03 08:54:00,17.1,,,1027.3,0.0,,,M,M,M
1V4,2017-01-03 09:54:00,18.0,,,1026.4,0.0,,,M,M,M
1V4,2017-01-03 10:54:00,19.0,,,1025.5,0.0,,,M,M,M
1V4,2017-01-03 11:54:00,19.9,,,1024.8,0.0,,,M,M,M
1V4,2017-01-03 12:54:00,19.9,,,1024.0,0.0,,,M,M,M
1V4,2017-01-03 13:54:00,21.9,,,1023.2,0.0,,,M,M,M
1V4,2017-01-03 14:54:00,24.1,,,1022.4,0.0,,,M,M,M
1V4,2017-01-03 15:54:00,27.0,,,1020.6,0.0,,,M,M,M
1V4,2017-01-03 16:54:00,28.9,,,1019.1,0.0,,,M,M,M
1V4,2017-01-03 17:54:00,30.9,,,1017.5,0.0,,,M,M,M
1V4,2017-01-03 18:54:00,32.0,,,1015.7,0.0,,,M,M,M
1V4,2017-01-03 19:54:00,33.1,,,1014.4,0.0,,,M,M,M
1V4,2017-01-03 20:54:00,33.1,,,1012.7,0.0,,,M,M,M
1V4,2017-01-03 21:54:00,33.1,,,1011.4,0.0,,,M,M,M
1V4,2017-01-03 22:54:00,32.0,,,1010.1,0.0,,,M,M,M
1V4,2017-01-03 23:54:00,34.0,,,1008.7,0.0,,,M,M,M
1V4,2017-01-04 00:54:00,36.0,,,1006.8,0.05,,,M,M,M
1V4,2017-01-04 01:54:00,36.0,,,1004.7,0.08,,,M,M,M
1V4,2017-01-04 02:54:00,35.1,,,1002.4,0.06,,,M,M,M
1V4,2017-01-04 03:54:00,36.0,,,1000.8,0.01,,,M,M,M
1V4,2017-01-04 05:54:00,35.1,,,997.5,0.01,,,M,M,M
1V4,2017-01-04 06:54:00,35.1,,,996.8,0.03,,,M,M,M
1V4,2017-01-04 07:54:00,34.0,,,996.2,0.02,,,M,M,M
1V4,2017-01-04 08:54:00,33.1,,,995.3,0.02,,,M,M,M
1V4,2017-01-04 09:54:00,33.1,,,994.1,0.04,,,M,M,M
